,count,mean,std,min,25%,50%,75%,max
credit_score,1522893.0,757.0744129758295,42.61971816888473,572.0,728.0,767.0,791.0,846.0
original_dti_ratio,1522893.0,32.527436267682624,9.737803826239189,1.0,25.0,33.0,41.0,59.0
original_cltv,1522893.0,73.56736684717836,16.06416136732196,6.0,66.0,78.0,80.0,164.0
original_interest_rate,1522893.0,3.9269287060876916,0.5539147841486366,2.25,3.625,3.875,4.25,6.375
first_time_homebuyer_flag,1522893.0,0.14471272768342885,0.35181107913725684,0.0,0.0,0.0,0.0,1.0
occupancy_P,1522893.0,0.8911558461428347,0.3114436830648255,0.0,1.0,1.0,1.0,1.0
occupancy_S,1522893.0,0.03341075177310553,0.17970669059631117,0.0,0.0,0.0,0.0,1.0
loan_purpose_N,1522893.0,0.3372521904033967,0.4727719294124663,0.0,0.0,0.0,1.0,1.0
loan_purpose_P,1522893.0,0.45404962791213827,0.4978842496804528,0.0,0.0,0.0,1.0,1.0
unemployment_rate,1522893.0,-11.647698309881255,8.13779607961543,-45.3125,-16.66667,-12.08791,-7.5,30.76923
private_housing_autorization,1522893.0,30.015060246491416,62.74397694504822,-98.09524,-9.09091,18.46154,53.13554,2050.0
defaulted,1522893.0,0.02868750463755497,0.16692678039141207,0.0,0.0,0.0,0.0,1.0
metropolitan_statistical_area,1522893.0,26932.24399875763,10681.1964250157,12060.0,17140.0,26420.0,38060.0,47220.0
first_payment_date,1522893.0,201398.63827859212,168.36761651815652,201102.0,201301.0,201407.0,201512.0,201701.0
more_than_one_borrower,1522893.0,0.5291428879113634,0.4991501334186796,0.0,0.0,1.0,1.0,1.0
